credit_utilization,age,missed_30_59,debt_ratio,monthly_income,open_credit_lines,missed_90_plus,real_estate_loans,missed_60_89,dependents,income_was_missing,debt_to_income,total_missed_payments,income_per_dependent,high_credit_utilization,ever_seriously_late,age_group_26-35,age_group_36-50,age_group_51-65,age_group_65+
0.766126609,45,2,0.802982129,9120.0,13,0,6,0,2.0,0,7323.19701648,2,3040.0,1,0,False,True,False,False
0.957151019,40,0,0.121876201,2600.0,4,0,0,0,1.0,0,316.8781226,0,1300.0,1,0,False,True,False,False
0.65818014,38,1,0.085113375,3042.0,2,1,0,0,0.0,0,258.91488675,2,3042.0,1,1,False,True,False,False
0.233809776,30,0,0.036049682,3300.0,5,0,0,0,0.0,0,118.9639506,0,3300.0,0,0,True,False,False,False
0.9072394,49,1,0.024925695,63588.0,7,0,1,0,0.0,0,1584.97509366,1,63588.0,1,0,False,True,False,False
0.213178682,74,0,0.375606969,3500.0,3,0,1,0,1.0,0,1314.6243915,0,1750.0,0,0,False,False,False,True
0.754463648,39,0,0.209940017,3500.0,8,0,0,0,0.0,0,734.7900595,0,3500.0,1,0,False,True,False,False
0.189169052,57,0,0.606290901,23684.0,9,0,4,0,2.0,0,14359.393699284,0,7894.666666666667,0,0,False,False,True,False
0.644225962,30,0,0.30947621,2500.0,5,0,0,0,0.0,0,773.690525,0,2500.0,1,0,True,False,False,False
0.01879812,51,0,0.53152876,6501.0,7,0,2,0,2.0,0,3455.46846876,0,2167.0,0,0,False,False,True,False
0.010351857,46,0,0.298354075,12454.0,13,0,2,0,2.0,0,3715.70165005,0,4151.333333333333,0,0,False,True,False,False
0.964672555,40,3,0.382964747,13700.0,9,3,1,1,2.0,0,5246.6170339,7,4566.666666666667,1,1,False,True,False,False
0.548458062,64,0,0.209891754,11362.0,7,0,1,0,2.0,0,2384.790108948,0,3787.3333333333335,1,0,False,False,True,False
0.166284079,53,0,0.18827406,8800.0,7,0,0,0,0.0,0,1656.811728,0,8800.0,0,0,False,False,True,False
0.221812771,43,0,0.527887839,3280.0,7,0,1,0,2.0,0,1731.47211192,0,1093.3333333333333,0,0,False,True,False,False
0.602794411,25,0,0.065868263,333.0,2,0,0,0,0.0,0,21.934131579,0,333.0,1,0,False,False,False,False
0.200923382,43,0,0.430046338,12300.0,10,0,2,0,0.0,0,5289.5699574,0,12300.0,0,0,False,True,False,False
0.025655677,38,0,0.475841386,3000.0,7,0,1,0,2.0,0,1427.524158,0,1000.0,0,0,False,True,False,False
0.9999999,39,0,0.241103559,2500.0,4,0,0,0,0.0,0,602.7588975,0,2500.0,1,0,False,True,False,False
0.075426584,32,0,0.085512189,7916.0,6,0,0,0,0.0,0,676.9144881240001,0,7916.0,0,0,True,False,False,False
0.04656027,58,0,0.241621845,2416.0,9,0,1,0,0.0,0,583.75837752,0,2416.0,0,0,False,False,True,False
0.392248482,50,0,1.595253368,4676.0,14,0,3,0,1.0,0,7459.404748768,0,2338.0,1,0,False,True,False,False
0.052436094,58,0,0.097672186,8333.0,22,0,1,0,0.0,0,813.902325938,0,8333.0,0,0,False,False,True,False
0.034421473,69,0,0.042383047,2500.0,17,0,0,0,1.0,0,105.9576175,0,1250.0,0,0,False,False,False,True
0.452515828,24,0,0.011761247,3400.0,1,0,0,0,0.0,0,39.9882398,0,3400.0,1,0,False,False,False,False
0.392994586,58,2,0.436102527,5500.0,15,0,1,0,0.0,0,2398.5638985,2,5500.0,1,0,False,False,True,False
0.704073982,28,1,0.155201143,4200.0,8,0,0,0,0.0,0,651.8448006000001,1,4200.0,1,0,True,False,False,False
0.9999999,24,0,0.472703063,750.0,1,0,0,0,0.0,0,354.52729725,0,750.0,1,0,False,False,False,False
0.186868556,57,0,0.313812313,7000.0,9,0,2,0,0.0,0,2196.6861910000002,0,7000.0,0,0,False,False,True,False
0.693329681,42,2,0.257731959,2230.0,7,0,0,0,0.0,0,574.7422685700001,2,2230.0,1,0,False,True,False,False
0.0,64,0,0.073538769,11000.0,9,0,1,0,0.0,0,808.926459,0,11000.0,0,0,False,False,True,False
0.881836362,50,3,0.567858035,4000.0,9,0,1,0,1.0,0,2271.43214,3,2000.0,1,0,False,True,False,False
0.9999999,75,1,0.134078212,3400.0,1,0,1,0,1.0,0,455.8659208,1,1700.0,1,0,False,False,False,True
0.363636364,26,0,0.00999001,1000.0,1,0,0,0,0.0,0,9.99001,0,1000.0,1,0,True,False,False,False
0.304490668,52,0,0.808340474,3500.0,10,0,2,0,0.0,0,2829.191659,0,3500.0,1,0,False,False,True,False
0.71998531,41,1,0.539554464,5700.0,14,0,1,0,0.0,0,3075.4604447999996,1,5700.0,1,0,False,True,False,False
0.469056842,31,0,0.048211004,9250.0,4,0,0,0,1.0,0,445.951787,0,4625.0,1,0,True,False,False,False
0.718705378,28,0,0.170125614,3661.0,4,0,0,0,1.0,0,622.8298728540001,0,1830.5,1,0,True,False,False,False
0.000602723,70,0,0.177787036,16800.0,12,0,1,0,2.0,0,2986.8222048000002,0,5600.0,0,0,False,False,False,True
0.061440132,62,0,0.011167837,3133.0,2,0,0,0,0.0,0,34.988833321,0,3133.0,0,0,False,False,True,False
0.140110634,31,0,0.689370485,1937.0,4,0,2,0,0.0,0,1335.310629445,0,1937.0,0,0,True,False,False,False
0.834048027,38,0,0.393662026,13000.0,13,0,2,0,2.0,0,5117.606338,0,4333.333333333333,1,0,False,True,False,False
7.96e-05,70,0,0.256339661,6900.0,21,1,1,0,0.0,0,1768.7436609,1,6900.0,0,1,False,False,False,True
0.728150491,31,0,0.824725092,3000.0,10,0,2,0,1.0,0,2474.175276,0,1500.0,1,0,True,False,False,False
0.9999999,62,0,0.0,5461.0,1,0,0,0,0.0,1,0.0,0,5461.0,1,0,False,False,True,False
0.028562367,51,0,0.306381499,5750.0,5,0,1,0,0.0,0,1761.69361925,0,5750.0,0,0,False,False,True,False
0.992015968,29,0,0.008064516,2231.0,1,0,0,0,0.0,0,17.991935196,0,2231.0,1,0,True,False,False,False
0.070853769,55,0,0.073147745,13793.0,4,0,1,0,0.0,0,1008.926846785,0,13793.0,0,0,False,False,True,False
0.454971915,46,1,0.016921775,13000.0,10,0,0,0,1.0,0,219.983075,1,6500.0,1,0,False,True,False,False
0.401199782,64,0,0.351258937,3216.0,4,0,1,0,0.0,0,1129.648741392,0,3216.0,1,0,False,False,True,False
0.655569945,35,0,0.261609907,5813.0,10,0,0,0,2.0,0,1520.7383893909998,0,1937.6666666666667,1,0,True,False,False,False
0.651603452,58,0,0.241135663,7783.0,11,0,1,0,0.0,0,1876.758865129,0,7783.0,1,0,False,False,True,False
0.027399502,69,0,0.00803428,5600.0,3,0,0,0,0.0,0,44.991968,0,5600.0,0,0,False,False,False,True
0.009788862,46,0,1.051397656,3326.0,6,0,2,0,2.0,0,3496.948603856,0,1108.6666666666667,0,0,False,True,False,False
0.337520702,60,0,0.549877805,4500.0,10,0,2,0,0.0,0,2474.4501225000004,0,4500.0,1,0,False,False,True,False
0.0,67,0,0.540983607,3720.0,2,0,1,0,0.0,0,2012.45901804,0,3720.0,0,0,False,False,False,True
